Count,Label,CBG,GEOID
310,Count of All Parcels,7.003,4.21E+11
246,Count of All Parcels,8.001,4.21E+11
247,Count of All Parcels,8.002,4.21E+11
196,Count of All Parcels,8.003,4.21E+11
94,Count of All Parcels,8.004,4.21E+11
160,Count of All Parcels,9.001,4.21E+11
225,Count of All Parcels,9.002,4.21E+11
75,Count of All Parcels,9.003,4.21E+11
422,Count of All Parcels,9.004,4.21E+11
312,Count of All Parcels,10.001,4.21E+11
274,Count of All Parcels,10.002,4.21E+11
335,Count of All Parcels,10.003,4.21E+11
266,Count of All Parcels,10.004,4.21E+11
414,Count of All Parcels,11.001,4.21E+11
463,Count of All Parcels,11.002,4.21E+11
356,Count of All Parcels,11.003,4.21E+11
449,Count of All Parcels,12.001,4.21E+11
718,Count of All Parcels,12.002,4.21E+11
431,Count of All Parcels,12.003,4.21E+11
373,Count of All Parcels,12.004,4.21E+11
289,Count of All Parcels,14.001,4.21E+11
475,Count of All Parcels,14.002,4.21E+11
456,Count of All Parcels,14.003,4.21E+11
387,Count of All Parcels,14.004,4.21E+11
142,Count of All Parcels,118.052,4.21E+11
482,Count of All Parcels,147.001,4.21E+11
272,Count of All Parcels,147.002,4.21E+11
396,Count of All Parcels,147.003,4.21E+11
142,Count of all Rental Properties,1.001,4.21E+11
207,Count of all Rental Properties,1.002,4.21E+11
307,Count of all Rental Properties,1.003,4.21E+11
166,Count of all Rental Properties,2.001,4.21E+11
190,Count of all Rental Properties,2.002,4.21E+11
102,Count of all Rental Properties,3.001,4.21E+11
128,Count of all Rental Properties,3.002,4.21E+11
216,Count of all Rental Properties,3.003,4.21E+11
168,Count of all Rental Properties,3.004,4.21E+11
188,Count of all Rental Properties,4.001,4.21E+11
190,Count of all Rental Properties,4.002,4.21E+11
232,Count of all Rental Properties,4.003,4.21E+11
149,Count of all Rental Properties,4.004,4.21E+11
182,Count of all Rental Properties,5.001,4.21E+11
227,Count of all Rental Properties,5.002,4.21E+11
140,Count of all Rental Properties,5.003,4.21E+11
45,Count of all Rental Properties,5.004,4.21E+11
99,Count of all Rental Properties,6.001,4.21E+11
166,Count of all Rental Properties,6.002,4.21E+11
138,Count of all Rental Properties,6.003,4.21E+11
174,Count of all Rental Properties,6.004,4.21E+11
107,Count of all Rental Properties,7.001,4.21E+11
101,Count of all Rental Properties,7.002,4.21E+11
177,Count of all Rental Properties,7.003,4.21E+11
146,Count of all Rental Properties,8.001,4.21E+11
75,Count of all Rental Properties,8.002,4.21E+11
